vehicle_id,company_id,vehicle_number_plate,vehicle_date_of_first_km,vehicle_seats_count,vehicle_standing_count,vehicle_co2_emission
11376,17,BV-880-BM,20110916,63,0,,
666,15,CX-666-VN,20130814,57,0,,
315,15,FJ-315-MP,20190814,63,0,,
166,13,EV-226-VMR,20180306,63,0,,
419,13,255-BCD-44,20030522,59,0,,
147,13,270-CFM-44,20080125,59,0,,
148,13,275-CFM-44,20080125,59,0,,
118,13,488-BRJ-44,20051025,63,0,,
150,13,646-CJR-44,20030925,73,0,,
414,13,844-BAQ-44,20030211,55,0,,
119,13,AE-727-ZG,20050415,63,0,,
127,13,AZ-673-GF,20060629,63,0,,
136,13,CJ-300-JF,20061002,59,0,,
157,13,EB-882-HM,20090319,63,0,,
177,13,FM-170-XZ,20200108,63,0,,
